Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.00,0.00,14.70,7,45,0.47,0,67.3,33.4,0.00,0.00,0.00,16,-20.00,9.50,50,14.22,-0.43,3.92,0.68,0.00,-1.80,0.68,0.00,0.00,22.30
96,0.00,0.00,14.70,7,45,0.47,0,67.3,33.4,0.00,0.00,0.00,16,-20.00,9.50,50,14.22,-0.43,3.92,0.68,0.00,-1.80,0.68,0.00,0.00,22.30
192,0.00,0.00,14.70,7,45,0.47,0,67.3,33.4,0.00,0.00,0.00,16,-20.00,9.50,50,14.22,-0.43,3.92,0.68,0.00,-1.80,0.68,0.00,0.00,22.30
288,0.00,0.00,14.70,7,45,0.47,0,67.3,33.4,0.00,0.00,0.00,16,-20.00,9.50,50,14.22,-0.43,3.92,0.68,0.00,-1.80,0.68,0.00,0.00,22.40
384,0.00,0.00,14.70,7,45,0.47,0,67.3,33.4,0.00,0.00,0.00,16,-20.00,9.50,50,14.22,-0.43,3.92,0.68,0.00,-1.80,0.68,0.00,0.00,22.40
480,0.00,0.00,14.70,7,45,0.47,0,67.3,33.4,0.00,0.00,0.00,16,-20.00,9.50,50,14.22,-0.43,3.92,0.68,0.00,-1.80,0.68,0.00,0.00,22.40
577,0.00,0.00,14.70,7,45,0.47,0,67.3,33.4,0.00,0.00,0.00,16,-20.00,9.50,50,14.22,-0.43,3.92,0.68,0.00,-1.80,0.68,0.00,0.00,22.40
673,0.00,0.00,14.70,7,45,0.47,0,67.3,33.4,0.00,0.00,0.00,16,-20.00,9.50,50,14.22,-0.43,3.92,0.70,0.00,-1.80,0.68,0.00,0.00,22.30
769,0.00,0.00,14.70,7,45,0.47,0,67.3,33.4,0.00,0.00,0.00,16,-20.00,9.50,50,14.22,-0.43,3.92,0.68,0.00,-1.80,0.68,0.00,0.00,22.40
865,0.00,0.00,14.70,7,45,0.47,0,67.3,33.4,0.00,0.00,0.00,16,-20.00,9.50,50,14.22,-0.48,3.92,0.68,0.00,-1.80,0.68,0.00,0.00,22.30
